time,Estimated profit%,Base,Intermediate,srcExchange,dstExchange,initialBaseAmount,initialAmountOfAltCoin,finalBaseAmount,amountOfAltCoinAtDst,ProfitInBase,TotalProfit%,night
4/12/2019 13:55,6.818181818,BTC,IOST,Kucoin,Okex,0.037532956,14271.0861,0.040210474,14255.81501,0.002677517,7.133776031,0
4/12/2019 13:55,1.515151515,BTC,IOST,Kucoin,Bittrex,0.098681871,37422.7014,0.099439392,37384.2787,0.000757522,0.767640151,0
4/12/2019 13:57,10.6122958,ETH,IOST,Binance,Okex,0.52411317,6523,0.562454417,6515.477,0.038341247,7.315451874,0
4/12/2019 13:57,9.236453202,ETH,IOST,Kucoin,Okex,1.048455082,12912.0084,1.1221692,12898.09639,0.073714118,7.030736851,0
4/12/2019 13:58,8.872189297,ETH,DASH,Coss,Binance,0.61539095,0.905,0.651023798,0.89319,0.035632848,5.790278264,0
4/12/2019 13:58,8.982337976,ETH,DASH,Coss,Hitbtc,0.61539095,0.905,0.651076662,0.89319,0.035685712,5.798868465,0
4/12/2019 13:58,8.360417065,ETH,DASH,Coss,Kucoin,0.61539095,0.905,0.646671042,0.89319,0.031280092,5.082962582,0
4/12/2019 13:58,8.678068795,ETH,DASH,Coss,Okex,0.61539095,0.905,0.649969159,0.89319,0.034578209,5.618901139,0
4/12/2019 13:58,8.383164458,ETH,DASH,Coss,Bittrex,0.61539095,0.905,0.650933085,0.89319,0.035542135,5.775537528,0
4/12/2019 13:58,11.06870229,BTC,IOST,Binance,Okex,0.5,190839.6947,0.514188802,190647.855,0.014188802,2.837760312,0
4/12/2019 13:58,2.671755725,BTC,IOST,Binance,Bittrex,0.5,190839.6947,0.503841859,190647.855,0.003841859,0.768371809,0
4/12/2019 13:59,10.64638783,BTC,IOST,Kucoin,Okex,0.052645634,20017.3842,0.056030514,19996.36682,0.00338488,6.429555777,0
4/12/2019 14:01,10.18426295,ETH,IOST,Binance,Okex,0.68455822,8520,0.725257467,8510.48,0.040699247,5.945330258,0
4/12/2019 14:01,8.990147783,ETH,IOST,Kucoin,Okex,1.048455082,12912.0084,1.095731482,12898.09639,0.0472764,4.509148838,0
4/12/2019 14:01,9.041309431,ETH,DASH,Coss,Binance,0.61539095,0.905,0.651610245,0.89319,0.036219295,5.885574834,0
4/12/2019 14:01,9.06792747,ETH,DASH,Coss,Hitbtc,0.61539095,0.905,0.651853966,0.89319,0.036463016,5.925179057,0
4/12/2019 14:01,8.660421477,ETH,DASH,Coss,Kucoin,0.61539095,0.905,0.64930919,0.89319,0.03391824,5.511657255,0
4/12/2019 14:02,8.825129781,ETH,DASH,Coss,Okex,0.61539095,0.905,0.650861009,0.89319,0.035470059,5.763825307,0
